# File generated fom CXRO data
# found in https://henke.lbl.gov/optical_constants/asf.html
#S 89 Ac
#UF1ADD 0.0
#N 3
#L PhotonEnergy[eV]  f1  f2
      290.6150     13.456800      4.851560
      295.3150     13.322700      4.836210
      300.0920     13.172700      4.820770
      304.9450     13.014000      4.805370
      309.8780     12.841200      4.756910
      314.8900     12.611500      4.700310
      319.9830     12.333000      4.658500
      325.1580     12.043200      4.630310
      330.4180     11.736400      4.562460
      335.7620     11.298400      4.479420
      341.1920     10.757400      4.459940
      346.7110     10.194600      4.522420
      352.3190      9.553950      4.581170
      358.0170      8.844310      4.729320
      363.8080      8.049060      4.946240
      369.6920      7.157750      5.197180
      375.6720      6.096910      5.588790
      381.7480      4.701090      6.302970
      387.9220      3.394400      7.406710
      394.1970      2.225530      9.230620
      400.5730      1.555700     11.313800
      407.0520      1.602790     13.451000
      413.6350      1.873850     15.523500
      420.3260      2.550470     17.448100
      427.1240      3.764520     18.974900
      434.0320      4.894070     20.222200
      441.0520      5.946400     21.028700
      448.1860      6.919530     21.867300
      455.4350      7.855480     22.531700
      462.8020      8.742410     23.209200
      470.2870      9.689180     23.907100
      477.8940     10.674200     24.432200
      485.6230     11.698300     24.956600
      493.4780     12.689100     25.219400
      501.4590     13.562500     25.474000
      509.5700     14.388600     25.731200
      517.8120     15.201200     25.991100
      526.1870     16.027700     26.221200
      534.6980     16.819400     26.420200
      543.3460     17.600000     26.620700
      552.1340     18.387400     26.822700
      561.0650     19.202400     27.026200
      570.1390     20.106600     27.231300
      579.3610     21.090300     27.239200
      588.7320     21.931800     27.130100
      598.2540     22.696500     27.021400
      607.9300     23.417100     26.913200
      617.7630     24.108000     26.805400
      627.7550     24.776600     26.694400
      637.9080     25.425400     26.582400
      648.2260     26.059400     26.470800
      658.7110     26.683600     26.359700
      669.3650     27.302000     26.249100
      680.1910     27.919200     26.138900
      691.1930     28.540900     26.029300
      702.3720     29.175600     25.920000
      713.7330     29.841100     25.811300
      725.2770     30.613400     25.702900
      737.0080     31.338600     25.317200
      748.9280     31.943300     24.930000
      761.0420     32.429200     24.605000
      773.3510     32.940500     24.353900
      785.8590     33.532800     24.105400
      798.5700     34.173500     23.737500
      811.4860     34.680800     23.253700
      824.6110     35.035700     22.783700
      837.9490     35.396000     22.508900
      851.5020     35.806200     22.237400
      865.2740     36.361900     21.969200
      879.2690     36.886200     21.460300
      893.4910     37.263800     20.927000
      907.9430     37.538000     20.407000
      922.6280     37.733700     19.984500
      937.5510     37.948800     19.633600
      952.7150     38.202000     19.280600
      968.1240     38.444500     18.919000
